net,length_um
net11,156.2µm
net6,133.535µm
net7,113.215µm
net10,99.49µm
net4,90.215µm
net5,79.58µm
net8,77.515µm
net1,75.02µm
_055_,70.84µm
u_dsm.integrator\[8\],68.84µm
net2,66.85µm
data_word\[2\],66.29µm
data_word\[1\],61.67µm
uut.d,54.62µm
uut.c,49.335µm
data_word\[3\],45.815µm
u_dsm.integrator\[3\],41.105µm
uut.clk_jk,39.545µm
net9,37.21µm
u_dsm.integrator\[4\],36.355µm
data_word\[0\],34.95µm
clknet_0_sclk,34.38µm
data_word\[6\],33.91µm
data_word\[7\],33.11µm
clknet_1_0__leaf_sclk,31.81µm
u_dsm.integrator\[6\],31.69µm
data_word\[4\],31.33µm
u_dsm.integrator\[7\],31.135µm
freq_in,28.78µm
u_dsm.integrator\[5\],28.565µm
_092_,28.56µm
uut.div4.dff2.q,27.16µm
data_word\[5\],26.57µm
_072_,24.61µm
clknet_1_1__leaf_sclk,24.6µm
_066_,23.78µm
_064_,23.41µm
u_dsm.integrator\[2\],23.335µm
sclk,22.32µm
_060_,22.2µm
_080_,21.125µm
uut.b,20.62µm
_048_,19.69µm
_068_,19.36µm
_051_,18.91µm
_097_,18.685µm
_087_,17.655µm
data_word\[8\],17.545µm
_074_,15.94µm
net3,15.79µm
_057_,15.23µm
_058_,15.06µm
_093_,15.02µm
_049_,14.53µm
_083_,14.34µm
uut.div4.dff1.q,13.765µm
_063_,13.685µm
_079_,13.22µm
_052_,12.9µm
_086_,12.895µm
_077_,12.85µm
uut.div4.dff1.d,12.85µm
_099_,12.745µm
uut.pre45.d3,12.73µm
_062_,12.315µm
u_dsm.integrator\[0\],11.67µm
_104_,11.17µm
_106_,11.055µm
_115_,10.98µm
_101_,10.975µm
_112_,10.915µm
_046_,10.56µm
_109_,10.32µm
_082_,10.02µm
_102_,10.02µm
_047_,9.96µm
_085_,9.775µm
_075_,9.75µm
_081_,9.26µm
_050_,9µm
_010_,8.65µm
_032_,8.53µm
sdata,8.46µm
_009_,8.42µm
_095_,8.42µm
u_dsm.integrator\[1\],8.23µm
_017_,8.17µm
_045_,8.16µm
_114_,8.04µm
_076_,7.975µm
_043_,7.8µm
uut.div4.dff2.d,7.75µm
uut.mod7.jk1.d_in,7.75µm
uut.pre45.d2,7.75µm
_088_,7.74µm
_098_,7.74µm
_103_,7.68µm
_107_,7.68µm
_001_,7.63µm
rst,7.62µm
_067_,7.44µm
_002_,7.39µm
_005_,7.2µm
_065_,7.09µm
_094_,6.97µm
_044_,6.84µm
_071_,6.78µm
freq_out,6.77µm
_073_,6.66µm
_059_,6.6µm
_037_,6.55µm
uut.pre45.d1,6.54µm
_008_,6.43µm
_100_,6.39µm
en,6.31µm
_015_,6.02µm
_113_,5.91µm
_016_,5.77µm
_030_,5.58µm
uut.mod7.jk2.d_in,5.35µm
_034_,5.34µm
_029_,5.29µm
_003_,5.22µm
_105_,5.125µm
_025_,4.92µm
_111_,4.81µm
_042_,4.74µm
_054_,4.62µm
_096_,4.32µm
_038_,4.26µm
_041_,4.26µm
_061_,4.23µm
_019_,4.195µm
_056_,3.96µm
_012_,3.72µm
_013_,3.72µm
_021_,3.72µm
_031_,3.72µm
_091_,3.72µm
_036_,3.69µm
_006_,3.62µm
_033_,3.62µm
uut.pre45.ff1.q,3.61µm
_108_,3.56µm
_011_,3.48µm
_039_,3.42µm
_040_,3.42µm
_116_,3.42µm
_014_,3.3µm
_018_,3.3µm
_023_,3.3µm
_024_,3.3µm
_026_,3.3µm
_028_,3.3µm
_000_,3.06µm
_035_,3µm
_070_,3µm
_020_,2.94µm
_027_,2.94µm
_069_,2.94µm
_090_,2.94µm
uut.mod7.jk3.d_in,2.94µm
_053_,2.765µm
_089_,2.66µm
_022_,2.52µm
_110_,2.28µm
_078_,1.8µm
_004_,1.38µm
_007_,1.38µm
_084_,1.38µm
uut.out_stg.dff_out.d,0.96µm
